time_s,accel_x_g,accel_y_g,accel_z_g,light_norm,temp_1_c,temp_2_c
0.000000000,-0.0348995,0.0871026,0.9955878,0.0350000,36.4000000,36.4000000
0.010000000,-0.0348995,0.0871026,0.9955878,0.0350004,36.4000078,36.4000078
0.020000000,-0.0348995,0.0871026,0.9955878,0.0350009,36.4000156,36.4000156
0.030000000,-0.0348995,0.0871026,0.9955878,0.0350013,36.4000234,36.4000234
0.040000000,-0.0348995,0.0871026,0.9955878,0.0350018,36.4000312,36.4000312
0.050000000,-0.0348995,0.0871026,0.9955878,0.0350022,36.4000390,36.4000390
0.060000000,-0.0348995,0.0871026,0.9955878,0.0350027,36.4000468,36.4000468
0.070000000,-0.0348995,0.0871026,0.9955878,0.0350031,36.4000546,36.4000546
0.080000000,-0.0348995,0.0871026,0.9955878,0.0350036,36.4000624,36.4000624
0.090000000,-0.0348995,0.0871026,0.9955878,0.0350040,36.4000702,36.4000702
0.100000000,-0.0348995,0.0871026,0.9955878,0.0350045,36.4000780,36.4000780
0.110000000,-0.0348995,0.0871026,0.9955878,0.0350049,36.4000858,36.4000858
0.120000000,-0.0348995,0.0871026,0.9955878,0.0350054,36.4000936,36.4000936
0.130000000,-0.0348995,0.0871026,0.9955878,0.0350058,36.4001014,36.4001014
0.140000000,-0.0348995,0.0871026,0.9955878,0.0350063,36.4001092,36.4001092
0.150000000,-0.0348995,0.0871026,0.9955878,0.0350067,36.4001170,36.4001170
0.160000000,-0.0348995,0.0871026,0.9955878,0.0350072,36.4001248,36.4001248
0.170000000,-0.0348995,0.0871026,0.9955878,0.0350076,36.4001326,36.4001326
0.180000000,-0.0348995,0.0871026,0.9955878,0.0350081,36.4001404,36.4001404
0.190000000,-0.0348995,0.0871026,0.9955878,0.0350085,36.4001482,36.4001482
0.200000000,-0.0348995,0.0871026,0.9955878,0.0350090,36.4001560,36.4001560
0.210000000,-0.0348995,0.0871026,0.9955878,0.0350094,36.4001637,36.4001637
0.220000000,-0.0348995,0.0871026,0.9955878,0.0350099,36.4001715,36.4001715
0.230000000,-0.0348995,0.0871026,0.9955878,0.0350103,36.4001793,36.4001793
0.240000000,-0.0348995,0.0871026,0.9955878,0.0350108,36.4001871,36.4001871
0.250000000,-0.0348995,0.0871026,0.9955878,0.0350112,36.4001949,36.4001949
0.260000000,-0.0348995,0.0871026,0.9955878,0.0350117,36.4002027,36.4002027
0.270000000,-0.0348995,0.0871026,0.9955878,0.0350121,36.4002105,36.4002105
0.280000000,-0.0348995,0.0871026,0.9955878,0.0350126,36.4002183,36.4002183
0.290000000,-0.0348995,0.0871026,0.9955878,0.0350130,36.4002261,36.4002261
0.300000000,-0.0348995,0.0871026,0.9955878,0.0350135,36.4002339,36.4002339
0.310000000,-0.0348995,0.0871026,0.9955878,0.0350139,36.4002417,36.4002417
0.320000000,-0.0348995,0.0871026,0.9955878,0.0350144,36.4002495,36.4002495
0.330000000,-0.0348995,0.0871026,0.9955878,0.0350148,36.4002573,36.4002573
0.340000000,-0.0348995,0.0871026,0.9955878,0.0350153,36.4002651,36.4002651
0.350000000,-0.0348995,0.0871026,0.9955878,0.0350157,36.4002729,36.4002729
0.360000000,-0.0348995,0.0871026,0.9955878,0.0350162,36.4002807,36.4002807
0.370000000,-0.0348995,0.0871026,0.9955878,0.0350166,36.4002885,36.4002885
0.380000000,-0.0348995,0.0871026,0.9955878,0.0350171,36.4002963,36.4002963
0.390000000,-0.0348995,0.0871026,0.9955878,0.0350175,36.4003041,36.4003041
0.400000000,-0.0348995,0.0871026,0.9955878,0.0350180,36.4003119,36.4003119
0.410000000,-0.0348995,0.0871026,0.9955878,0.0350184,36.4003197,36.4003197
0.420000000,-0.0348995,0.0871026,0.9955878,0.0350188,36.4003275,36.4003275
0.430000000,-0.0348995,0.0871026,0.9955878,0.0350193,36.4003353,36.4003353
0.440000000,-0.0348995,0.0871026,0.9955878,0.0350197,36.4003431,36.4003431
0.450000000,-0.0348995,0.0871026,0.9955878,0.0350202,36.4003509,36.4003509
0.460000000,-0.0348995,0.0871026,0.9955878,0.0350206,36.4003587,36.4003587
0.470000000,-0.0348995,0.0871026,0.9955878,0.0350211,36.4003665,36.4003665
0.480000000,-0.0348995,0.0871026,0.9955878,0.0350215,36.4003743,36.4003743
0.490000000,-0.0348995,0.0871026,0.9955878,0.0350220,36.4003821,36.4003821
0.500000000,-0.0348995,0.0871026,0.9955878,0.0350224,36.4003899,36.4003899
0.510000000,-0.0348995,0.0871026,0.9955878,0.0350229,36.4003977,36.4003977
0.520000000,-0.0348995,0.0871026,0.9955878,0.0350233,36.4004055,36.4004055
0.530000000,-0.0348995,0.0871026,0.9955878,0.0350238,36.4004133,36.4004133
0.540000000,-0.0348995,0.0871026,0.9955878,0.0350242,36.4004211,36.4004211
0.550000000,-0.0348995,0.0871026,0.9955878,0.0350247,36.4004289,36.4004289
0.560000000,-0.0348995,0.0871026,0.9955878,0.0350251,36.4004367,36.4004367
0.570000000,-0.0348995,0.0871026,0.9955878,0.0350256,36.4004445,36.4004445
0.580000000,-0.0348995,0.0871026,0.9955878,0.0350260,36.4004523,36.4004523
0.590000000,-0.0348995,0.0871026,0.9955878,0.0350265,36.4004601,36.4004601
0.600000000,-0.0348995,0.0871026,0.9955878,0.0350269,36.4004679,36.4004679
0.610000000,-0.0348995,0.0871026,0.9955878,0.0350274,36.4004756,36.4004756
0.620000000,-0.0348995,0.0871026,0.9955878,0.0350278,36.4004834,36.4004834
0.630000000,-0.0348995,0.0871026,0.9955878,0.0350283,36.4004912,36.4004912
0.640000000,-0.0348995,0.0871026,0.9955878,0.0350287,36.4004990,36.4004990
0.650000000,-0.0348995,0.0871026,0.9955878,0.0350292,36.4005068,36.4005068
0.660000000,-0.0348995,0.0871026,0.9955878,0.0350296,36.4005146,36.4005146
0.670000000,-0.0348995,0.0871026,0.9955878,0.0350301,36.4005224,36.4005224
0.680000000,-0.0348995,0.0871026,0.9955878,0.0350305,36.4005302,36.4005302
0.690000000,-0.0348995,0.0871026,0.9955878,0.0350310,36.4005380,36.4005380
0.700000000,-0.0348995,0.0871026,0.9955878,0.0350314,36.4005458,36.4005458
0.710000000,-0.0348995,0.0871026,0.9955878,0.0350319,36.4005536,36.4005536
0.720000000,-0.0348995,0.0871026,0.9955878,0.0350323,36.4005614,36.4005614
0.730000000,-0.0348995,0.0871026,0.9955878,0.0350328,36.4005692,36.4005692
0.740000000,-0.0348995,0.0871026,0.9955878,0.0350332,36.4005770,36.4005770
0.750000000,-0.0348995,0.0871026,0.9955878,0.0350337,36.4005848,36.4005848
0.760000000,-0.0348995,0.0871026,0.9955878,0.0350341,36.4005926,36.4005926
0.770000000,-0.0348995,0.0871026,0.9955878,0.0350346,36.4006004,36.4006004
