event_id,kind,start_s,end_s,response_end_s,frequency_hz,amplitude_g,phase_rad,pitch_change_deg,temperature_drop_c,recovery_tau_s,roll_target_deg,pitch_target_deg
event_01,jaw_rhythm,84.79976282525826,101.85439209475989,101.85439209475989,1.2235886092533756,0.07888499740371856,2.015488926952312,,,,,
event_02,jaw_rhythm,127.74289586812718,144.54077995074329,144.54077995074329,1.1120715587526908,0.08032056944290968,1.9807287260093989,,,,,
event_03,jaw_rhythm,258.1431372927359,277.41265549441056,277.41265549441056,0.6361610712260617,0.07694833699501491,1.5790008135425992,,,,,
event_04,jaw_rhythm,306.26447959721094,323.31541346332375,323.31541346332375,0.5803941295314815,0.06662947555907836,2.95793407379272,,,,,
event_05,speaking,424.28234850052905,440.417095766657,440.417095766657,2.0552343585803587,0.015419681139932459,2.4504693355739944,,,,,
event_06,jaw_rhythm,504.28405787247135,518.8268738914244,518.8268738914244,0.5338539240923666,0.0636226514475577,4.597681667971283,,,,,
event_07,drinking,593.9668786673204,598.7494844811853,1001.0630702544402,,,,,1.975793246042285,67.05226429554247,,
event_08,posture,596.8608426043484,600.1021511612664,600.1021511612664,,,,,,,7.054007582968531,-2.3826215995709195
event_09,jaw_rhythm,701.9645556804749,711.437795037961,711.437795037961,1.0724388185927365,0.037881663585886134,2.033715227087063,,,,,
event_10,speaking,778.1567569440202,789.4003935665304,789.4003935665304,1.8597647525629206,0.008318284253873598,5.696958716739051,,,,,
event_11,mouth_open,872.5319279659041,882.6291143885459,882.6291143885459,,,,6.421538821630682,,,,
event_12,jaw_rhythm,912.7128132438015,927.8181363297125,927.8181363297125,0.8470398716722902,0.03811163152929223,4.223712255221851,,,,,
event_13,posture,937.9286728695419,941.1713693269355,941.1713693269355,,,,,,,-4.719460817029727,-10.508441302486787
event_14,mouth_open,1026.339914708355,1047.697308871449,1047.697308871449,,,,6.54433469831752,,,,
event_15,drinking,1154.4503468399826,1159.3608822387237,1397.4726216479987,,,,,2.3915801142739346,39.68528990154584,,
event_16,speaking,1211.3998498589517,1224.5908185541848,1224.5908185541848,2.5396568501294885,0.01035931441853665,3.990218978363082,,,,,
event_17,posture,1222.019915395037,1224.8133417933989,1224.8133417933989,,,,,,,5.560090063495274,4.439177117750507
event_18,jaw_rhythm,1302.6194578899263,1324.4383588973467,1324.4383588973467,1.155558786392716,0.06433890971047393,2.094206011565347,,,,,
event_19,mouth_open,1356.1848068426448,1374.297999849861,1374.297999849861,,,,5.152641406063689,,,,
event_20,posture,1407.5093347568643,1409.5192843088794,1409.5192843088794,,,,,,,19.598392442715834,13.380445748539188
event_21,speaking,1433.653031863001,1447.1652485356146,1447.1652485356146,1.8573608962095358,0.010629858942487615,5.145254117342433,,,,,
event_22,speaking,1547.9602913550277,1556.1213367187208,1556.1213367187208,1.4407283805423303,0.019012710450903057,3.3985076081384626,,,,,
event_23,posture,1626.8728646695336,1631.7082983838234,1631.7082983838234,,,,,,,-16.01325253506584,12.01361901689475
event_24,drinking,1631.992841235656,1637.5242389034051,1800.0,,,,,2.0145314501613734,66.32011604305623,,
event_25,mouth_open,1745.4656267765106,1753.2822030576053,1753.2822030576053,,,,6.498169749909935,,,,
